Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,0.008,0.012,0.012,0.034,0.022,0.012,0.012,0.012,0.012
2,0.007,0.006,0.006,0.009,0.006,0.012,0.006,0.006,0.006
3,0.016,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
4,0.001,0.002,0.002,0.002,0.002,0.002,0.009,0.002,0.002
5,0.007,0.007,0.003,0.016,0.001,0.003,0.5,0.003,0.003
6,0.005,0.003,0.006,0.006,0.006,0.015,1.0,0.006,0.006
7,0.015,0.014,0.014,0.026,0.25,0.014,0.012,0.014,0.014
8,0.002,0.002,0.002,0.002,0.021,0.002,0.008,0.002,0.002
9,0.01,0.003,0.2,0.001,0.167,0.052,0.052,0.052,0.052
10,0.01,0.002,0.002,0.013,0.333,0.002,0.002,0.002,0.002
11,0.001,0.003,0.003,0.003,0.007,0.003,0.006,0.003,0.003
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
14,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.001,0.002,0.002,0.002,0.008,0.002,0.002,0.002,0.002
24,0.006,0.005,0.001,0.005,0.04,0.005,0.003,0.005,0.005
25,0.005,0.003,0.002,0.004,0.015,0.004,0.003,0.004,0.004
26,0.003,0.093,1.0,0.003,0.017,0.003,0.001,0.003,0.003
27,0.003,0.001,0.002,0.002,0.002,0.002,0.013,0.002,0.002
28,0.011,0.004,0.5,0.002,0.024,0.002,0.002,0.002,0.002
29,0.001,0.012,0.012,0.012,0.033,0.012,0.007,0.012,0.012
30,0.002,0.002,0.001,0.002,0.013,0.002,0.001,0.002,0.002
31,0.005,0.002,0.003,0.003,0.034,0.003,0.006,0.003,0.003
32,0.005,0.4,0.002,0.003,0.013,0.003,0.002,0.003,0.003
33,0.008,0.008,0.008,0.008,0.015,0.008,0.005,0.008,0.008
34,0.004,0.004,0.001,0.004,0.014,0.004,0.003,0.004,0.004
35,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.017,0.005,0.008,0.008,0.008,0.022,0.004,0.008,0.008
37,0.005,0.007,0.004,0.004,0.011,0.004,0.001,0.004,0.004
38,0.005,0.006,0.002,0.002,0.002,0.018,0.001,0.002,0.002
39,0.001,0.001,0.004,0.004,0.008,0.004,0.004,0.004,0.004
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.006,0.008,0.004,0.004,0.005,0.009,0.002,0.004,0.004
42,0.004,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002
43,0.001,0.167,0.044,0.044,0.008,0.044,0.007,0.044,0.044
44,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.01,0.006,0.006,0.006,0.007,0.006,0.003,0.006,0.006
47,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
48,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
49,0.014,0.003,0.014,0.014,0.014,0.006,0.028,0.014,0.014
50,0.005,0.003,0.005,0.005,0.005,0.005,0.005,0.005,0.005
51,0.002,0.018,0.002,0.002,0.002,0.016,0.002,0.002,0.002
52,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002
53,0.002,0.017,0.002,0.002,0.002,0.012,0.002,0.002,0.002
54,0.042,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001
55,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
56,0.001,0.006,0.001,0.001,0.001,0.001,1.0,0.001,0.001
57,0.032,0.004,0.002,0.009,0.016,0.009,0.002,0.002,0.002
58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
59,0.001,0.034,0.002,0.002,0.002,0.057,0.002,0.002,0.002
60,0.002,0.004,0.003,0.015,0.034,0.002,0.002,0.002,0.002
61,0.001,0.009,0.001,0.001,0.001,0.011,0.001,0.001,0.001
62,0.002,0.007,0.002,0.002,0.002,0.002,0.002,0.002,0.002
63,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001
64,0.333,0.005,0.003,1.0,0.125,0.002,0.002,0.145,0.145
65,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001
66,0.002,0.014,0.002,0.002,0.002,0.002,0.002,0.002,0.002
67,0.001,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001
68,0.006,0.019,0.006,0.006,0.006,0.006,0.006,0.006,0.006
69,0.001,0.002,0.004,0.002,0.002,0.002,0.002,0.002,0.002
70,0.002,0.006,0.002,0.002,0.002,0.002,0.002,0.002,0.002
71,0.074,0.006,0.002,0.002,0.002,0.009,0.002,0.002,0.002
72,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
